PRECINCT,SHAPE_Area,SHAPE_Leng,WARD,DATA_ADMIN,WARD_PRECI,PERIMETER,OBJECTID,TIMOTHY M. CULLERTON,TOM CARAVETTE,BERNARD L. STONE,SHARON DENISE DIXON,DANIEL 'DANNY' SOLIS,LATASHA R. THOMAS,CHE 'RHYMEFEST' SMITH,MAURITA E. GAVIN,MICHELE SMITH,RAYMOND A. LOPEZ,JAMES CAPPLEMAN,HAL E. BASKIN,TIM EGAN,TONI L. FOULKES,MARY O'CONNOR,MARY ANNE 'MOLLY' PHELAN,CUAHUTEMOC MORFIN,JOHN ARENA,WILLIE B. COCHRAN,NICHOLAS SPOSATO,JOHN GARRIDO,DEBRA L. SILVERSTEIN,MICHAEL D. CHANDLER,BALLOTS CAST,REGISTERED VOTERS,DAVID H. MOORE,FREDDRENNA M. LYLE,RODERICK T. SAWYER,JOHN A. RICE,JOANN THOMPSON
45,1286802.44873,4555.31493421,44,1286804.32636,44045,4555.31510177,2785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4300011.33283,11441.3154595,13,3617941.91953,13006,8869.71930621,2786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2488380.88073,9435.10187489,13,2069884.38062,13010,7287.86555713,2787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3160148.3096,8625.0511853,18,3160148.28683,18062,8625.05475677,2788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1913755.91025,5538.96467986,13,1913755.69158,13002,5538.96087504,2789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1627783.54867,6595.56387232,23,1627783.60151,23020,6595.56380569,2790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2673764.32293,6669.96570482,23,2674088.55048,23028,6669.49244659,2792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2384834.28131,6483.51232914,18,2384849.48617,18057,6483.54441343,2793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2339516.25102,8325.99637388,18,2339518.71599,18002,8326.0402194,2794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2251854.45191,8524.80035009,13,2251745.99847,13017,8524.38144205,2795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2203160.4983,6899.18307229,13,2202946.12678,13008,6897.09346228,2796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,36952565.8917,24820.2074751,23,36952565.9066,23008,24820.2076002,2797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2752108.49994,9496.13436122,23,2752107.05446,23054,9496.13420405,2798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,4667894.74773,9167.4857073,18,4667894.99383,18056,9167.45358045,2799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,6731566.57711,10431.5685549,13,2804695.81112,13019,7778.32631278,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
